instrument_token	exchange_token	tradingsymbol	name	last_price	expiry	strike	tick_size	lot_size	instrument_type	segment	exchange
14038786	54839	NIFTY22FEB15100CE	NIFTY	0.0	2022-02-24	15100.0	0.05	50	CE	NFO-OPT	NFO
14039042	54840	NIFTY22FEB15100PE	NIFTY	0.0	2022-02-24	15100.0	0.05	50	PE	NFO-OPT	NFO
14039298	54841	NIFTY22FEB15150CE	NIFTY	0.0	2022-02-24	15150.0	0.05	50	CE	NFO-OPT	NFO
14039554	54842	NIFTY22FEB15150PE	NIFTY	0.0	2022-02-24	15150.0	0.05	50	PE	NFO-OPT	NFO
14039810	54843	NIFTY22FEB15200CE	NIFTY	0.0	2022-02-24	15200.0	0.05	50	CE	NFO-OPT	NFO
14040066	54844	NIFTY22FEB15200PE	NIFTY	0.0	2022-02-24	15200.0	0.05	50	PE	NFO-OPT	NFO
14040322	54845	NIFTY22FEB15250CE	NIFTY	0.0	2022-02-24	15250.0	0.05	50	CE	NFO-OPT	NFO
14040578	54846	NIFTY22FEB15250PE	NIFTY	0.0	2022-02-24	15250.0	0.05	50	PE	NFO-OPT	NFO
14040834	54847	NIFTY22FEB15300CE	NIFTY	0.0	2022-02-24	15300.0	0.05	50	CE	NFO-OPT	NFO
14041090	54848	NIFTY22FEB15300PE	NIFTY	0.0	2022-02-24	15300.0	0.05	50	PE	NFO-OPT	NFO
14041346	54849	NIFTY22FEB15350CE	NIFTY	0.0	2022-02-24	15350.0	0.05	50	CE	NFO-OPT	NFO
14041602	54850	NIFTY22FEB15350PE	NIFTY	0.0	2022-02-24	15350.0	0.05	50	PE	NFO-OPT	NFO
11913986	46539	NIFTY22FEB15400CE	NIFTY	0.0	2022-02-24	15400.0	0.05	50	CE	NFO-OPT	NFO
11914242	46540	NIFTY22FEB15400PE	NIFTY	0.0	2022-02-24	15400.0	0.05	50	PE	NFO-OPT	NFO
11914754	46542	NIFTY22FEB15450CE	NIFTY	0.0	2022-02-24	15450.0	0.05	50	CE	NFO-OPT	NFO
11915522	46545	NIFTY22FEB15450PE	NIFTY	0.0	2022-02-24	15450.0	0.05	50	PE	NFO-OPT	NFO
11235330	43888	NIFTY22FEB15500CE	NIFTY	0.0	2022-02-24	15500.0	0.05	50	CE	NFO-OPT	NFO
11236354	43892	NIFTY22FEB15500PE	NIFTY	0.0	2022-02-24	15500.0	0.05	50	PE	NFO-OPT	NFO
9257730	36163	NIFTY22FEB15550CE	NIFTY	0.0	2022-02-24	15550.0	0.05	50	CE	NFO-OPT	NFO
9258242	36165	NIFTY22FEB15550PE	NIFTY	0.0	2022-02-24	15550.0	0.05	50	PE	NFO-OPT	NFO
9258498	36166	NIFTY22FEB15600CE	NIFTY	0.0	2022-02-24	15600.0	0.05	50	CE	NFO-OPT	NFO
9258754	36167	NIFTY22FEB15600PE	NIFTY	0.0	2022-02-24	15600.0	0.05	50	PE	NFO-OPT	NFO
9259010	36168	NIFTY22FEB15650CE	NIFTY	0.0	2022-02-24	15650.0	0.05	50	CE	NFO-OPT	NFO
9259266	36169	NIFTY22FEB15650PE	NIFTY	0.0	2022-02-24	15650.0	0.05	50	PE	NFO-OPT	NFO
9259522	36170	NIFTY22FEB15700CE	NIFTY	0.0	2022-02-24	15700.0	0.05	50	CE	NFO-OPT	NFO
9259778	36171	NIFTY22FEB15700PE	NIFTY	0.0	2022-02-24	15700.0	0.05	50	PE	NFO-OPT	NFO
9266178	36196	NIFTY22FEB15750CE	NIFTY	0.0	2022-02-24	15750.0	0.05	50	CE	NFO-OPT	NFO
9266434	36197	NIFTY22FEB15750PE	NIFTY	0.0	2022-02-24	15750.0	0.05	50	PE	NFO-OPT	NFO
9274626	36229	NIFTY22FEB15800CE	NIFTY	0.0	2022-02-24	15800.0	0.05	50	CE	NFO-OPT	NFO
9277186	36239	NIFTY22FEB15800PE	NIFTY	0.0	2022-02-24	15800.0	0.05	50	PE	NFO-OPT	NFO
9277442	36240	NIFTY22FEB15850CE	NIFTY	0.0	2022-02-24	15850.0	0.05	50	CE	NFO-OPT	NFO
9278722	36245	NIFTY22FEB15850PE	NIFTY	0.0	2022-02-24	15850.0	0.05	50	PE	NFO-OPT	NFO
9278978	36246	NIFTY22FEB15900CE	NIFTY	0.0	2022-02-24	15900.0	0.05	50	CE	NFO-OPT	NFO
9280258	36251	NIFTY22FEB15900PE	NIFTY	0.0	2022-02-24	15900.0	0.05	50	PE	NFO-OPT	NFO
9280514	36252	NIFTY22FEB15950CE	NIFTY	0.0	2022-02-24	15950.0	0.05	50	CE	NFO-OPT	NFO
9280770	36253	NIFTY22FEB15950PE	NIFTY	0.0	2022-02-24	15950.0	0.05	50	PE	NFO-OPT	NFO
9281026	36254	NIFTY22FEB16000CE	NIFTY	0.0	2022-02-24	16000.0	0.05	50	CE	NFO-OPT	NFO
9281282	36255	NIFTY22FEB16000PE	NIFTY	0.0	2022-02-24	16000.0	0.05	50	PE	NFO-OPT	NFO
13408514	52377	NIFTY22FEB16050CE	NIFTY	0.0	2022-02-24	16050.0	0.05	50	CE	NFO-OPT	NFO
13408770	52378	NIFTY22FEB16050PE	NIFTY	0.0	2022-02-24	16050.0	0.05	50	PE	NFO-OPT	NFO
13409026	52379	NIFTY22FEB16100CE	NIFTY	0.0	2022-02-24	16100.0	0.05	50	CE	NFO-OPT	NFO
13409282	52380	NIFTY22FEB16100PE	NIFTY	0.0	2022-02-24	16100.0	0.05	50	PE	NFO-OPT	NFO
13409538	52381	NIFTY22FEB16150CE	NIFTY	0.0	2022-02-24	16150.0	0.05	50	CE	NFO-OPT	NFO
13409794	52382	NIFTY22FEB16150PE	NIFTY	0.0	2022-02-24	16150.0	0.05	50	PE	NFO-OPT	NFO
13410050	52383	NIFTY22FEB16200CE	NIFTY	0.0	2022-02-24	16200.0	0.05	50	CE	NFO-OPT	NFO
13410306	52384	NIFTY22FEB16200PE	NIFTY	0.0	2022-02-24	16200.0	0.05	50	PE	NFO-OPT	NFO
13410562	52385	NIFTY22FEB16250CE	NIFTY	0.0	2022-02-24	16250.0	0.05	50	CE	NFO-OPT	NFO
13410818	52386	NIFTY22FEB16250PE	NIFTY	0.0	2022-02-24	16250.0	0.05	50	PE	NFO-OPT	NFO
13411074	52387	NIFTY22FEB16300CE	NIFTY	0.0	2022-02-24	16300.0	0.05	50	CE	NFO-OPT	NFO
13411330	52388	NIFTY22FEB16300PE	NIFTY	0.0	2022-02-24	16300.0	0.05	50	PE	NFO-OPT	NFO
13411586	52389	NIFTY22FEB16350CE	NIFTY	0.0	2022-02-24	16350.0	0.05	50	CE	NFO-OPT	NFO
13411842	52390	NIFTY22FEB16350PE	NIFTY	0.0	2022-02-24	16350.0	0.05	50	PE	NFO-OPT	NFO
13412098	52391	NIFTY22FEB16400CE	NIFTY	0.0	2022-02-24	16400.0	0.05	50	CE	NFO-OPT	NFO
13412354	52392	NIFTY22FEB16400PE	NIFTY	0.0	2022-02-24	16400.0	0.05	50	PE	NFO-OPT	NFO
13412610	52393	NIFTY22FEB16450CE	NIFTY	0.0	2022-02-24	16450.0	0.05	50	CE	NFO-OPT	NFO
13412866	52394	NIFTY22FEB16450PE	NIFTY	0.0	2022-02-24	16450.0	0.05	50	PE	NFO-OPT	NFO
13413122	52395	NIFTY22FEB16500CE	NIFTY	0.0	2022-02-24	16500.0	0.05	50	CE	NFO-OPT	NFO
13413378	52396	NIFTY22FEB16500PE	NIFTY	0.0	2022-02-24	16500.0	0.05	50	PE	NFO-OPT	NFO
